"Alias","Golfer 1","Golfer 2","Golfer 3","Golfer 4","Golfer 5"
"jtreano","JUSTIN THOMAS","RORY MCILROY","TONY FINAU","JORDAN SPIETH","ADAM SCOTT"
"phil.rosengr","DUSTIN JOHNSON","FRANCESCO MOLINARI","TOMMY FLEETWOOD","HIDEKI MATSUYAMA","CAMERON SMITH"
"riley.m.scan","PAUL CASEY","TIGER WOODS","BUBBA WATSON","ADAM SCOTT","JORDAN SPIETH"
"cjmadden","RORY MCILROY","JUSTIN ROSE","JASON DAY","HIDEKI MATSUYAMA","JORDAN SPIETH"
"h.parker.mor","RORY MCILROY","JUSTIN THOMAS","TOMMY FLEETWOOD","JORDAN SPIETH","HENRIK STENSON"
"h.parker.mor","RORY MCILROY","JUSTIN ROSE","TIGER WOODS","HIDEKI MATSUYAMA","J.B. HOLMES"
"alexandrabars","JUSTIN ROSE","FRANCESCO MOLINARI","MATT KUCHAR","HIDEKI MATSUYAMA","HENRIK STENSON"
"jisle","DUSTIN JOHNSON","RORY MCILROY","PAUL CASEY","ADAM SCOTT","HIDEKI MATSUYAMA"
"drewmala","DUSTIN JOHNSON","RICKIE FOWLER","PHIL MICKELSON","JORDAN SPIETH","CHARLEY HOFFMAN"
"alexandrabars","RORY MCILROY","BROOKS KOEPKA","PAUL CASEY","CHARLEY HOFFMAN","BRANDT SNEDEKER"
"toddhbened","RORY MCILROY","RICKIE FOWLER","PAUL CASEY","HIDEKI MATSUYAMA","CAMERON SMITH"
"chrisvillan","JUSTIN ROSE","RORY MCILROY","HIDEKI MATSUYAMA","CHARLEY HOFFMAN","CAMERON SMITH"
"anuj.khatiw","JON RAHM","RORY MCILROY","TIGER WOODS","JORDAN SPIETH","CAMERON SMITH"
"timmyt11","RORY MCILROY","JUSTIN ROSE","TIGER WOODS","JORDAN SPIETH","RAFAEL CABRERA BELLO"
"timmyt11","JUSTIN ROSE","RORY MCILROY","TIGER WOODS","JORDAN SPIETH","RAFAEL CABRERA BELLO"
"nathomas","TIGER WOODS","RORY MCILROY","JUSTIN ROSE","SERGIO GARCIA","JORDAN SPIETH"
"jdvernie","FRANCESCO MOLINARI","RORY MCILROY","TIGER WOODS","LUCAS BJERREGAARD","BRANDT SNEDEKER"
"jdvernie","DUSTIN JOHNSON","BRYSON DECHAMBEAU","HIDEKI MATSUYAMA","RAFAEL CABRERA BELLO","TONY FINAU"
"jscott","JUSTIN ROSE","RICKIE FOWLER","ADAM SCOTT","BRANDT SNEDEKER","TOMMY FLEETWOOD"
